permno,ticker,permco,cusip,company,price_x,sheet_row,is_duplicate_row,weight_target,price_y,target_value,shares,value,weight_actual,weight
18729,CL,20473,19416210,COLGATE PALMOLIVE CO,79.02,113,False,0.0018021704513138,79.02,15820.357481682468,200,15804.0,0.0015804,0.0015804
46578,CLX,20463,18905410,CLOROX CO,100.83,114,False,0.0015831514654932,100.83,13897.698807287132,137,13813.71,0.001381371,0.001381371
89525,CMCSA,43613,20030N10,COMCAST CORP NEW,29.89,115,False,0.0023053065959422,29.89,20237.13929284468,677,20235.53,0.002023553,0.002023553
89626,CME,43791,12572Q10,C M E GROUP INC,273.08,116,False,0.0021202841183282,273.08,18612.91904449571,68,18569.44,0.001856944,0.001856944
91068,CMG,50184,16965610,CHIPOTLE MEXICAN GRILL INC,37.0,117,False,0.0012846285623635,37.0,11277.114810618785,304,11248.0,0.0011248,0.0011248
41080,CMI,20543,23102110,CUMMINS INC,510.45,118,False,0.0029484012298203,510.45,25882.54702610671,50,25522.5,0.00255225,0.00255225
23229,CMS,20361,12589610,C M S ENERGY CORP,69.93,119,False,0.0021246971185893,69.93,18651.658577510727,266,18601.38,0.0018601380000000001,0.0018601380000000001
89269,CNC,42540,15135B10,CENTENE CORP DEL,41.15,120,False,0.0004468943674823,41.15,3923.063240198084,95,3909.25,0.000390925,0.000390925
21792,CNP,20939,15189T10,CENTERPOINT ENERGY INC,38.34,121,False,0.0020899504108639,38.34,18346.634523250694,478,18326.52,0.001832652,0.001832652
81055,COF,30513,14040H10,CAPITAL ONE FINANCIAL CORP,242.36,122,False,0.0019448556196219,242.36,17072.91956221295,70,16965.2,0.00169652,0.00169652
20892,COIN,58167,19260Q10,COINBASE GLOBAL INC,226.14,123,False,0.0002822672997445,226.14,2477.884144694396,10,2261.3999999999996,0.00022613999999999997,0.00022613999999999997
65541,COO,5780,21664850,COOPER COMPANIES INC,81.96,124,False,0.0021059387961075,81.96,18486.98860014959,225,18441.0,0.0018441,0.0018441
